H|FIRST YEARS OF PERFORMANCES AT WISNER BUILDING, MASON &amp; WATKINS HIGH SCHOOL
T|# Titles will be printed
1961|Born Yesterday|Elton Bateman|Marda Burton
I|-TV ACTOR / LAUREL NATIVE TOM LESTER (EB IN 'GREEN ACRES') IN CAST
1962|*Dial M For Murder|Bob Martins|Marda Burton
1962|*The Curious Savage|Ruth Tomlinson|Marda Burton
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1962|*The Man Who Came To Dinner|Lowell Tew|Marda Burton
1963|*The Philadelphia Story|Sharon Henderson|Marda Burton
1963|*See How They Run|Gladys Mack Huff|Marda Burton
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1963|You Can't Take It With You|Jim Gibbon|Lowell Tew
1964|*Everybody Loves Opal|Dot Traweek|Lowell Tew
1964|The Women|Ruth Tomlinson|Lowell Tew
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1964|*All The Way Home|Rufus Smith|Billy Lightsey
I|-MOVIE/BROADWAY ACTOR RUFUS SMITH ('ANNIE GET YOUR GUN' WITH ETHEL MERMAN) DIRECTS
1965|*The Heiress|Allan Jones|Billy Lightsey
1965|The Solid Gold Cadillac|Bob Cade|Billy Lightsey
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1965|Take Her, She's Mine|Lowell Tew|Connie Farrell
1966|Our Town|Ruth Tomlinson|Connie Farrell
1966|Never Too Late|Page Harris|Connie Farrell
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1966|A Thousand Clowns|Talmadge Harper|Clayton Corley
1967|The Country Girl|Marda Burton|Clayton Corley
1967|Barefoot In The Park|Dennis Bailey|Clayton Corley
H|LLT LEASES OUR FIRST THEATRE SPACE, THE OLD ARMORY BUILDING ON MAGNOLIA STREET
T|# Titles will be printed
1967|*The Odd Couple|Dennis Bailey|Betty Whitt
1968|The Willow &amp; I|Page Harris|Betty Whitt
1968|The Desk Set|Lowell Tew|Betty Whitt
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1969|The Glass Menagerie|Page Harris|Ruth Tomlinson
1969|Mary, Mary|Lowell Tew|Ruth Tomlinson
1969|The Apple Tree|Dana Seefeld|Ruth Tomlinson
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1969|Don't Drink The Water|Dana Seefeld|Lowell Tew
1970|Cat On A Hot Tin Roof|Dana Seefeld|Lowell Tew
1970|Luv|Lowell Tew|Lowell Tew
1970|The Fantasticks|Mike Howard|Lowell Tew
I|-CABARET SINGER-BROADWAY ACTOR ('CLEAVAGE') / LAUREL NATIVE TOM ELIAS IN CAST
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1970|Auntie Mame|Lowell Tew|Patti McLaughlin|10th Season
1970|The Subject Was Roses|Don Toner|Patti McLaughlin
1971|Spoon River Anthology|Ruth Tomlinson|Patti McLaughlin
1971|Cactus Flower|David Godbold|Patti McLaughlin
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1971|Plaza Suite|Lowell Tew|Tucker Buchanan
1971|The Rainmaker|Mike Howard|Tucker Buchanan
1972|Charley's Aunt|Dana Seefeld|Tucker Buchanan
1972|Tonight Is Gershwin|Bob Mesrobian|Tucker Buchanan
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1972|*Forty Carats|Lowell Tew|Molly Newton
1972|Any Wednesday|Page Harris|Molly Newton
1973|Butterflies Are Free|Ruth Tomlinson|Molly Newton
1973|Follies '73|Mike Howard|Molly Newton
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1973|Last Of The Red Hot Lovers|Billy Lightsey|Rosemay Bouchillon
1973|*The Bad Seed|Jimmy Cox|Rosemay Bouchillon
1974|Blithe Spirit|Ruth Tomlinson|Rosemay Bouchillon
1974|Dames At Sea|Mike Howard|Rosemay Bouchillon
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1974|I Do, I Do|Jimmy Cox|Bill Clinton
1974|*My Three Angels|Lowell Tew|Bill Clinton
1975|*Finishing Touches|Joe Myers|Bill Clinton
1975|Little Foxes|Mike Howard|Bill Clinton
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1975|*Man Of LaMancha|Talmadge Harper|Don O'Brien
1975|Harvey|Ruth Tomlinson|Don O'Brien|50th Production
1976|Seven Year Itch|Ginger Everitt|Don O'Brien
1976|Evening Of One Acts|John Sumrall/Bill Clinton|Don O'Brien
H|URBAN RENEWAL CLAIMS OUR BUILDING, ONE YEAR OF SHOWS AT VARIOUS CITY SCHOOLS
T|# Titles will be printed
1976|Once Upon A Mattress|Jimmy Cox|John Sumrall
1976|*Diary Of Anne Frank|Liz Chesser|John Sumrall
1977|The Lion In Winter|Don Frutiger|John Sumrall
1977|No Sex Please, We're Brittish|Richard Piazza|John Sumrall
H|LLT PURCHASES OUR FIRST BUILDING, THE HISTORIC 1927 DOWNTOWN ARABIAN THEATRE
T|# Titles will be printed
1977|Our Town|Ruth Tomlinson|J. Larry Walters
1977|Guys &amp; Dolls|Bob Mesrobian|J. Larry Walters
1978|A Streetcar Named Desire|Don Frutiger|J. Larry Walters
I|-TV ACTOR ('SATURDAY NIGHT LIVE') / RECORDING ARTIST / LAUREL NATIVE PATRICK WEATHERS IN CAST
1978|6 Rms Riv Vu|Richard Piazza|J. Larry Walters
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1978|Damn Yankees|Bob Mesrobian|Liz Chesser
1978|Under Papa's Picture|Gina Robertson|Liz Chesser
1978|Count Dracula|John Sumrall|Liz Chesser
1979|Night Must Fall|Wess Hughes|Liz Chesser
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1979|Teahouse Of The August Moon|Lowell Tew|Mary Anne Sumrall
1979|How The Other Half Loves|Wess Hughes|Mary Anne Sumrall
1980|Witness For the Prosecution|Bob Lowe|Mary Anne Sumrall
1980|Come Blow Your Horn|John Sumrall|Mary Anne Sumrall
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1980|The Sound Of Music|Wess Hughes|John McRae|20th Season
1980|The Mousetrap|John Sumrall|John McRae
1981|The Crucible|Bob Lowe|John McRae
1981|Heaven Can Wait|Missy McCraw|John McRae
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1981|The Wizard Of Oz|Wess Hughes|Wess Hughes
I|-CO-PRODUCTION WITH JUNIOR AUXILIARY
1981|Showboat|Wess Hughes|Wess Hughes
1981|Bus Stop|Bob Lowe|Wess Hughes
1982|Vanities|Billie Graham|Wess Hughes
1982|Alice In Wonderland|Wess Hughes|Wess Hughes
I|-CO-PRODUCTION WITH JUNIOR AUXILIARY
1982|1776|Linda Nash / Wess Hughes|Wess Hughes
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1982|Mame|Wess Hughes|Wess Hughes
1982|Arsenic And Old Lace|Darlene Purcell / David Jones|Wess Hughes
1983|You're A Good Man, Charlie Brown|Wess Hughes|Wess Hughes
I|-CO-PRODUCTION WITH JUNIOR AUXILIARY
1983|Mr. Faulkner, Do You Write?|John Maxwell|Wess Hughes
1983|To Kill A Mockingbird|Missy McCraw|Wess Hughes
1983|A Funny Thing Happened On The Way To The Forum|Linda Nash/Wess Hughes|Wess Hughes
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1983|Oklahoma|Wess Hughes|L.H. Walker
1983|Same Time, Next Year|Billie Graham|L.H. Walker
1984|Deathtrap|David Jones/Darlene Purcell|L.H. Walker
1984|Grease|Linda Nash/Wess Hughes|L.H. Walker
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1984|The Music Man|Nancy Godsey|Edward Boone
1984|On Golden Pond|Don Frutiger|Edward Boone
1985|Crimes Of The Heart|Anita Boyd|Edward Boone
1985|*Cheaper By The Dozen|Brenda Carey|Edward Boone
1985|Ain't Misbehavin'|Wess Hughes|Edward Boone
H|HURRICANE JUAN DAMAGES THE ARABIAN AND SEASON PERFORMED AT GARDINER JUNIOR HIGH
T|# Titles will be printed
1985|The Fantasticks|Marlyn Blake|Herb Knotts
1985|Cat On A Hot Tin Roof|Don Frutiger|Herb Knotts
1986|Harvey|Liz Chesser / Betty Whitt|Herb Knotts
I|-MOVIE ('PARTY GIRL') &amp; BROADWAY ACTRESS / LAUREL NATIVE PARKER POSEY IN CAST
1986|*Born Yesterday|David Godbold|Herb Knotts
H|HURRICANE REPAIRS COMPLETED AND WE MOVE BACK TO THE ARABIAN
T|# Titles will be printed
1986|God's Favorite|Dwight Pitts|Dwight Pitts
1987|Private Lives|Don Frutiger|Dwight Pitts
1987|*The King &amp; I|Nancy Godsey|Dwight Pitts|100th Production
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1987|Broadway: Music Of Our Life|Brenda Carey|Bill Mullins
1987|*Rehearsal For Murder|Don Frutiger|Bill Mullins
1988|Brighton Beach Memoirs|Betty Whitt / Liz Chesser|Bill Mullins
1988|*Send Me No Flowers|Don Frutiger|Bill Mullins
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1988|Oliver|Suzanne Heflin|Tommy Thames
1988|Love, Sex And The I.R.S.|Betty Whitt / Liz Chesser|Tommy Thames
1989|Inherit The Wind|Lisa Thames|Tommy Thames
1989|A Salute To Irving Berlin|Missy McCraw|Tommy Thames
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1989|Broadway Bound|Betty Whitt / Liz Chesser|Scotty Sumrall
1989|The Foreigner|Don Frutiger|Scotty Sumrall
1990|The Nerd|David Godbold|Scotty Sumrall
1990|Evening With Gershwin &amp; Porter|Stevie Bateman|Scotty Sumrall
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1990|South Pacific|Peter Infanger|Lisa Thames|30th Season
1990|Driving Miss Daisy|Brenda Carey|Lisa Thames
1991|The Heiress|Betty Whitt / Liz Chesser|Lisa Thames
1991|Girls Of The Garden Club|Linda Walton|Lisa Thames
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
1991|Annie|Wess Hughes|Stan Riles
1991|Ordinary People|Kelly Sanner|Stan Riles
1992|You Can't Take It With You|Shana Riles|Stan Riles
1992|Barefoot In The Park|John Parker|Stan Riles
B|# Table Break - Put a horizontal line inside the table
T|# Titles will be printed
